"Notes"	"Year"	"Year Code"	"Division"	"Division Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"1999"	"1999"	"West North Central"	"CENS-D4"	"85+ years"	"85+"	7657	347228	2205.2
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"< 1 year"	"1"	148	669179	22.1
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	498	2646476	18.8
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"5-9 years"	"5-9"	419	3588955	11.7
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"10-14 years"	"10-14"	414	3515358	11.8
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"15-19 years"	"15-19"	633	3460827	18.3
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"20-24 years"	"20-24"	1022	3323711	30.7
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"25-29 years"	"25-29"	1821	3605855	50.5
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"30-34 years"	"30-34"	3206	3823906	83.8
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"35-39 years"	"35-39"	5543	4244715	130.6
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"40-44 years"	"40-44"	8889	4041585	219.9
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"45-49 years"	"45-49"	12958	3588300	361.1
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"50-54 years"	"50-54"	18749	3185674	588.5
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"55-59 years"	"55-59"	23598	2508578	940.7
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"60-64 years "	"60-64"	28322	2091733	1354.0
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"65-69 years"	"65-69"	35537	1915490	1855.2
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"70-74 years"	"70-74"	39279	1776234	2211.4
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"75-79 years"	"75-79"	34954	1453521	2404.8
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"80-84 years"	"80-84"	22414	938289	2388.8
	"1999"	"1999"	"South Atlantic"	"CENS-D5"	"85+ years"	"85+"	16612	762728	2178.0
	"1999"	"1999"	"East South Central"	"CENS-D6"	"< 1 year"	"1"	35	186231	18.8
	"1999"	"1999"	"East South Central"	"CENS-D6"	"1-4 years"	"1-4"	111	745086	14.9
	"1999"	"1999"	"East South Central"	"CENS-D6"	"5-9 years"	"5-9"	86	989271	8.7
	"1999"	"1999"	"East South Central"	"CENS-D6"	"10-14 years"	"10-14"	113	984602	11.5
	"1999"	"1999"	"East South Central"	"CENS-D6"	"15-19 years"	"15-19"	157	1015940	15.5
	"1999"	"1999"	"East South Central"	"CENS-D6"	"20-24 years"	"20-24"	303	967812	31.3
	"1999"	"1999"	"East South Central"	"CENS-D6"	"25-29 years"	"25-29"	439	998382	44.0
	"1999"	"1999"	"East South Central"	"CENS-D6"	"30-34 years"	"30-34"	776	1000299	77.6
	"1999"	"1999"	"East South Central"	"CENS-D6"	"35-39 years"	"35-39"	1403	1119903	125.3
	"1999"	"1999"	"East South Central"	"CENS-D6"	"40-44 years"	"40-44"	2347	1107897	211.8
	"1999"	"1999"	"East South Central"	"CENS-D6"	"45-49 years"	"45-49"	3461	1003843	344.8
	"1999"	"1999"	"East South Central"	"CENS-D6"	"50-54 years"	"50-54"	4946	890179	555.6
	"1999"	"1999"	"East South Central"	"CENS-D6"	"55-59 years"	"55-59"	6363	707109	899.9
	"1999"	"1999"	"East South Central"	"CENS-D6"	"60-64 years "	"60-64"	7463	593101	1258.3
	"1999"	"1999"	"East South Central"	"CENS-D6"	"65-69 years"	"65-69"	8882	514961	1724.8
	"1999"	"1999"	"East South Central"	"CENS-D6"	"70-74 years"	"70-74"	9124	455698	2002.2
	"1999"	"1999"	"East South Central"	"CENS-D6"	"75-79 years"	"75-79"	7683	365254	2103.5
	"1999"	"1999"	"East South Central"	"CENS-D6"	"80-84 years"	"80-84"	4887	237498	2057.7
	"1999"	"1999"	"East South Central"	"CENS-D6"	"85+ years"	"85+"	3685	203834	1807.8
	"1999"	"1999"	"West South Central"	"CENS-D7"	"< 1 year"	"1"	121	444013	27.3
	"1999"	"1999"	"West South Central"	"CENS-D7"	"1-4 years"	"1-4"	355	1724695	20.6
	"1999"	"1999"	"West South Central"	"CENS-D7"	"5-9 years"	"5-9"	264	2226954	11.9
	"1999"	"1999"	"West South Central"	"CENS-D7"	"10-14 years"	"10-14"	267	2214577	12.1
	"1999"	"1999"	"West South Central"	"CENS-D7"	"15-19 years"	"15-19"	458	2259258	20.3
	"1999"	"1999"	"West South Central"	"CENS-D7"	"20-24 years"	"20-24"	673	2065295	32.6
	"1999"	"1999"	"West South Central"	"CENS-D7"	"25-29 years"	"25-29"	1032	2105633	49.0
	"1999"	"1999"	"West South Central"	"CENS-D7"	"30-34 years"	"30-34"	1623	2097480	77.4
	"1999"	"1999"	"West South Central"	"CENS-D7"	"35-39 years"	"35-39"	2851	2310439	123.4
	"1999"	"1999"	"West South Central"	"CENS-D7"	"40-44 years"	"40-44"	4522	2214230	204.2
	"1999"	"1999"	"West South Central"	"CENS-D7"	"45-49 years"	"45-49"	6293	1919530	327.8
	"1999"	"1999"	"West South Central"	"CENS-D7"	"50-54 years"	"50-54"	8812	1614441	545.8
	"1999"	"1999"	"West South Central"	"CENS-D7"	"55-59 years"	"55-59"	10852	1236320	877.8
	"1999"	"1999"	"West South Central"	"CENS-D7"	"60-64 years "	"60-64"	12625	1005168	1256.0
	"1999"	"1999"	"West South Central"	"CENS-D7"	"65-69 years"	"65-69"	16339	881232	1854.1
	"1999"	"1999"	"West South Central"	"CENS-D7"	"70-74 years"	"70-74"	17083	777980	2195.8
	"1999"	"1999"	"West South Central"	"CENS-D7"	"75-79 years"	"75-79"	15058	615830	2445.2
	"1999"	"1999"	"West South Central"	"CENS-D7"	"80-84 years"	"80-84"	9622	395051	2435.6
	"1999"	"1999"	"West South Central"	"CENS-D7"	"85+ years"	"85+"	8315	348052	2389.0
	"1999"	"1999"	"Mountain"	"CENS-D8"	"< 1 year"	"1"	54	273428	19.7
	"1999"	"1999"	"Mountain"	"CENS-D8"	"1-4 years"	"1-4"	195	1055867	18.5
	"1999"	"1999"	"Mountain"	"CENS-D8"	"5-9 years"	"5-9"	155	1360091	11.4
	"1999"	"1999"	"Mountain"	"CENS-D8"	"10-14 years"	"10-14"	152	1355017	11.2
	"1999"	"1999"	"Mountain"	"CENS-D8"	"15-19 years"	"15-19"	287	1375718	20.9
	"1999"	"1999"	"Mountain"	"CENS-D8"	"20-24 years"	"20-24"	463	1289632	35.9
	"1999"	"1999"	"Mountain"	"CENS-D8"	"25-29 years"	"25-29"	659	1293203	51.0
	"1999"	"1999"	"Mountain"	"CENS-D8"	"30-34 years"	"30-34"	962	1285648	74.8
	"1999"	"1999"	"Mountain"	"CENS-D8"	"35-39 years"	"35-39"	1595	1426173	111.8
	"1999"	"1999"	"Mountain"	"CENS-D8"	"40-44 years"	"40-44"	2630	1390479	189.1
	"1999"	"1999"	"Mountain"	"CENS-D8"	"45-49 years"	"45-49"	3725	1243054	299.7
	"1999"	"1999"	"Mountain"	"CENS-D8"	"50-54 years"	"50-54"	5180	1046618	494.9
	"1999"	"1999"	"Mountain"	"CENS-D8"	"55-59 years"	"55-59"	6325	806161	784.6
	"1999"	"1999"	"Mountain"	"CENS-D8"	"60-64 years "	"60-64"	7900	658166	1200.3
	"1999"	"1999"	"Mountain"	"CENS-D8"	"65-69 years"	"65-69"	9826	582881	1685.8
	"1999"	"1999"	"Mountain"	"CENS-D8"	"70-74 years"	"70-74"	10533	519790	2026.4
	"1999"	"1999"	"Mountain"	"CENS-D8"	"75-79 years"	"75-79"	9313	417895	2228.6
	"1999"	"1999"	"Mountain"	"CENS-D8"	"80-84 years"	"80-84"	6318	268690	2351.4
	"1999"	"1999"	"Mountain"	"CENS-D8"	"85+ years"	"85+"	4658	212573	2191.2
	"1999"	"1999"	"Pacific"	"CENS-D9"	"< 1 year"	"1"	137	631690	21.7
	"1999"	"1999"	"Pacific"	"CENS-D9"	"1-4 years"	"1-4"	552	2622460	21.0
	"1999"	"1999"	"Pacific"	"CENS-D9"	"5-9 years"	"5-9"	404	3552514	11.4
	"1999"	"1999"	"Pacific"	"CENS-D9"	"10-14 years"	"10-14"	418	3307255	12.6
	"1999"	"1999"	"Pacific"	"CENS-D9"	"15-19 years"	"15-19"	632	3203724	19.7
	"1999"	"1999"	"Pacific"	"CENS-D9"	"20-24 years"	"20-24"	948	3031438	31.3
	"1999"	"1999"	"Pacific"	"CENS-D9"	"25-29 years"	"25-29"	1668	3324873	50.2
	"1999"	"1999"	"Pacific"	"CENS-D9"	"30-34 years"	"30-34"	2715	3526677	77.0
	"1999"	"1999"	"Pacific"	"CENS-D9"	"35-39 years"	"35-39"	4585	3736638	122.7
	"1999"	"1999"	"Pacific"	"CENS-D9"	"40-44 years"	"40-44"	7189	3550419	202.5
	"1999"	"1999"	"Pacific"	"CENS-D9"	"45-49 years"	"45-49"	10425	3125582	333.5
	"1999"	"1999"	"Pacific"	"CENS-D9"	"50-54 years"	"50-54"	14204	2641313	537.8
	"1999"	"1999"	"Pacific"	"CENS-D9"	"55-59 years"	"55-59"	17041	1942384	877.3
	"1999"	"1999"	"Pacific"	"CENS-D9"	"60-64 years "	"60-64"	19834	1526321	1299.5
	"1999"	"1999"	"Pacific"	"CENS-D9"	"65-69 years"	"65-69"	24163	1329237	1817.8
	"1999"	"1999"	"Pacific"	"CENS-D9"	"70-74 years"	"70-74"	27329	1222631	2235.3
	"1999"	"1999"	"Pacific"	"CENS-D9"	"75-79 years"	"75-79"	26206	1044545	2508.8
	"1999"	"1999"	"Pacific"	"CENS-D9"	"80-84 years"	"80-84"	17340	680036	2549.9
	"1999"	"1999"	"Pacific"	"CENS-D9"	"85+ years"	"85+"	13704	571051	2399.8
	"2000"	"2000"	"New England"	"CENS-D1"	"< 1 year"	"1"	44	168522	26.1
	"2000"	"2000"	"New England"	"CENS-D1"	"1-4 years"	"1-4"	160	696019	23.0
	"2000"	"2000"	"New England"	"CENS-D1"	"5-9 years"	"5-9"	112	955766	11.7
	"2000"	"2000"	"New England"	"CENS-D1"	"10-14 years"	"10-14"	151	979677	15.4
	"2000"	"2000"	"New England"	"CENS-D1"	"15-19 years"	"15-19"	196	932430	21.0
	"2000"	"2000"	"New England"	"CENS-D1"	"20-24 years"	"20-24"	311	845730	36.8
	"2000"	"2000"	"New England"	"CENS-D1"	"25-29 years"	"25-29"	487	872007	55.8
	"2000"	"2000"	"New England"	"CENS-D1"	"30-34 years"	"30-34"	937	1033093	90.7
	"2000"	"2000"	"New England"	"CENS-D1"	"35-39 years"	"35-39"	1658	1175665	141.0
